Tweet,True danger tweet?,True non-danger tweet?
Most Area Mass Transit Back To Normal After Snowstorm Changes http://cbsloc.al/1bGuYzE ,,1
Firefighters Suffer Through Extreme Cold To Battle Brooklyn Lumber Blaze http://cbsloc.al/1bG2shE ,,
Rock ‘N’ Roll Icon Phil Everly Dead At The Age Of 74 http://cbsloc.al/1bFdljH ,,1
"Knicks Stumble In Final Minute, Lose To Rockets By 2 http://cbsloc.al/KoCkCg ",,1
Pens’ Crosby And Kunitz Skate Circles Around Rangers http://cbsloc.al/1bF39rf ,,1
Firefighters Battle Basement Blaze At Radio City Music Hall http://cbsloc.al/1bF0ez3 ,,
"Dr. Max Gomez: Snow, Cold Temperatures Pose Serious Health Risks http://cbsloc.al/Kohx1I ",1,
Police Arrest Suspect In Connection With 7 Assaults In Brooklyn http://cbsloc.al/KoaRk5 ,,1
Postal Worker Rescued From Ice Water During High Tide Near Shrewsbury River http://cbsloc.al/Ko71aQ ,,
"4 People Shot, 1 Fatally, In Queens http://cbsloc.al/Ko3zwI ",,
"Scene of shooting in Queens. Police say 4 people shot: 1 man dead, 1 critical, 2 believed to be non life-threatening pic.twitter.com/v8d9XHgUSQ",,
Rangers’ Ryan Callahan To Return To Action Against Penguins http://cbsloc.al/KnYVyJ ,,1
"Saints Looking Healthy, But One Big Name Mars The Short Injury Report http://cbsloc.al/KnUBj9 ",,1
"Bengals Injury Report Very Long, But Hopes Are High For Most To Play http://cbsloc.al/19QJAgb ",,1
Police Search For Suspect Who Sexually Assaulted N.J. Woman While Shoveling Snow http://cbsloc.al/1f1brSr ,,
Gallo Goes There: Head Coaches Are Hugely Overrated In The NFL http://cbsloc.al/1f15nJD ,,1
Red Cross Helps 2 Families Displaced By Fire During Storm http://cbsloc.al/1f12qJ8 ,,1
Pick-A-Side: Which College Player Will Have The Best Career In The NFL? http://cbsloc.al/19QrTgE ,,1
"Colts Have Lengthy Injury Report, But Things Don’t Look So Bad http://cbsloc.al/1f0YnMF ",,1
Info and link to FREE tix for @wcbs880 A Night To Celebrate Champions on 1/16 --> http://cbsloc.al/1fWk7FS ,,1
".@wcbs880 & @NewarkMuseum present A Night To Celebrate Champions w/ Lombardi Trophy, @OJAnderson24 & Sean Landeta: http://CBSNewYork.com/nightofchampions …",,1
Man Clearing Snow In The Village Carjacked In Broad Daylight http://cbsloc.al/1f0Veg7 ,,
Packers Avoid TV Blackout As Forecast Calls For Deep Freeze http://cbsloc.al/1f0RdZ4 ,,1
Excited for @TheGRAMMYs? See your favorite #GRAMMYnoms live! Enter to win a trip to #LA & tickets to the show here: http://news.radio.com/sweepstakes/ ,,1
Silverman: Wild-Card Weekend Likely To Produce Eventual Super Bowl Winner http://cbsloc.al/1f0NHOe ,,1
Winter Storm Cancels Hundreds Of Flights At Area Airports http://cbsloc.al/1f0KBK0 ,,
"Boomer & Carton Podcast And MOTD: January 3, 2014 http://cbsloc.al/19PX9ML ",,1
Alternate side parking regulations will be suspended citywide tomorrow to facilitate snow removal #winterstorm http://cbsloc.al/1gwwUjx ,,1
Ex-Mayoral Hopeful Joe Lhota Named Chief Of Staff At NYU Langone Medical Center http://cbsloc.al/1f0GH41 ,,1
Boomer & Carton: Eddie’s Snoring http://cbsloc.al/1f0G3Ub ,,1
Winter Storm Dumps Nearly A Foot Of Snow On Parts Of Long Island http://cbsloc.al/1f0DiSJ ,,
Report: A-Rod Ruling Not Expected This Week http://cbsloc.al/19PKQ3b ,,1
"#deBlasio on closing schools: It was a very tough decision, but the temperature was the single most important factor http://cbsloc.al/1a5EOyU ",,
"Mayor de Blasio: All CUNY, PSAL and afterschool classes are canceled today #winterstorm http://cbsloc.al/1a5EOyU ",,
"Traffic, Transit Updates: Friday, Jan. 3, 2014 http://cbsloc.al/1f0ze4U ",,
Packers Face Injury Questions On Defense http://cbsloc.al/1f0yJYu ,,1
#JFK airport resumes operations. Expect residual delays.,,1
Mayor Bill de Blasio delivers update on winter storm. Watch http://cbsloc.al/qeCHMl  Listen http://bit.ly/19PxrYJ  .@tunein,,
Henrik Lundqvist Unveils Yankees Tribute On Stadium Series Mask http://cbsloc.al/19PxGmB ,,1
‘I’m Over It’: J.R. Smith Breaks Silence On Knicks Cutting Brother http://cbsloc.al/1f0qZFX ,,1
"Driver Injured As NJ TRANSIT Bus Slides Down Hill, Into Paterson Business http://cbsloc.al/1f0ni39 ",,
Eli Manning ‘Really Sad’ Over Retirement Of Giants OC Gilbride http://cbsloc.al/1f0jcb8 ,,1
UPDATE: FAA says #JFK expected to resume operations at 9:30 a.m. http://cbsloc.al/1d2SeOr ,,
Vikings Coach ‘Vehemently Denies’ Allegations Of Bigotry From Ex-Punter Kluwe http://cbsloc.al/19Pawgd ,,1
"NJ Government, Many Schools Closed Due To Snow http://cbsloc.al/19P0rzM ",,
Palladino: Penn State Boosters Should Be Grateful To O’Brien http://cbsloc.al/19P00pj ,,1
#JFK airport closed due to #snowstorm. FAA says it's expected to reopen at 8:30 a.m. http://cbsloc.al/1d2SeOr ,,
"Friedman: Kyle Okposo Is Team USA’s Loss, Islanders’ Gain http://cbsloc.al/19OUov5 ",,1
"Winter Storm Brings Snow, Cold To Tri-State http://cbsloc.al/1eZX14V ",,
Police Unions Ask Court To Speed Up Stop-And-Frisk Ruling http://cbsloc.al/1eZyc9f ,,
Seattle’s X-Factor In The NFL Playoffs http://cbsloc.al/1eZxVTH ,,1
"As we continue to follow the #LAX coverage, our thoughts are with all those affected by today's events.",,
Want to start your own business? Check out these tips from @DenStartupWeek: http://youtu.be/f4jeGnBlDy8  #startups #entrepreneur,,1
What does the average consumer think about personal finance? The answers may surprise you. Watch: https://www.chase.com/online/Special-Offers/showMovie.htm?flv=/online/Special-Offers/multimedia/Chase_Man_on_the_street.mp4&TB_iframe=true&height=400&width=550 ….,,1
"Thanks for your service! ""@DJZJ260 Shout out to @Chase for Premium Plus checking for #Veterans and #Soldiers of US Armed Forces"" #chase4vets",,1
Affected by the #shutdown? Here's a great resource for how your bank can help: http://www.thestreet.com/story/12067132/1/how-banks-are-helping-furloughed-workers.html … via @TheStreet.,,
Win a VIP shopping spree at @TheGarden during #MSGOpeningWeek. Retweet to enter! NoPurNecNYNJCT18+ Rules: http://bit.ly/16PNqKC ,,1
"""Keep your finances simple and clear,"" $JPM's Naomi Camper tells @nfccdebtadvice. Here's why: http://chase.com/mindfulspending  pic.twitter.com/CTZ37QaPcJ",,
"Don't forget: sign up today for #MissionMainSt grants for your chance to win $250,000 for your #smallbiz! http://bit.ly/MainStGrants  #ChaseBIS",,1
"Listening is critical. #socialmedia “@500yearplan: #socialnomics a listening report about the brand. #chasebis pic.twitter.com/DjLvrJWFZU""",,1
"Our Chase Business Insight Seminar w/ @equalman is in Troy, Michigan! Follow #ChaseBIS & @ChaseSmallBiz for helpful tips for your #smallbiz.",,1
Our thoughts are with the Navy Yard victims and their families.,,1
WATCH: @LamsSeafood’s mission is to bring Southeast Asia to Northwest America: http://chase.com/MissionMainStreet/Seattle … #MissionMainSt,,1
Oh yes. MT @anthony_lara: @Chase HEEEEEY 5% back at gas stations starting January 1! #chasefreedom,,1
"""This is a significant investment by $JPM: $250 million over 5 years to address #skillsgap."" See why: http://www.youtube.com/watch?v=s4_EIQR1tTo …. #SkillsAtWork",,1
"By helping people learn to read, you empower them to reach their goals. See how #1America is making a difference: http://www.youtube.com/watch?v=Wpi9DFZfYSI&feature=c4-overview-vl&list=PLhXApM2E0HhAc7V0dJfBkFOE9AnUwaB5J ….",,1
Did you know Chase is on YouTube? Check it out: http://youtube.com/chase .,,1
"Through our #EducationEffect program with @FIU, Miami Northwestern HS has achieved an A rating on @NAEP's scorecard! pic.twitter.com/UkMo3R9Jga",,1
Wow! MT @DeltaPoints: What can you do with @chase UR points? Swim with Tarpons in Grand Cayman! http://youtu.be/yQ3Sx1iOF80 . #UltimateRewards,,1
As many as 4 million American jobs are unfilled due to the #skillsgap. See how our New #SkillsAtWork aims to fix that http://www.youtube.com/watch?v=Dkq9nJNQRXk …,,
RT @ChasePaymentech: See how financing and advice from @Chase helped @kchilites on their mission. Watch their story: http://bit.ly/15m0dmV .,,
The biggest holiday stressors for #ProfWomen are…http://citi.us/1cHdYLz  #SmartIsSimple,,
Clean your work desk before your vacation so it’s not so overwhelming when you return. #SmartIsSimple,,1
"Q10: According to a LinkedIn poll, many are more stressed at work than home. How do you manage both? #SmartIsSimple",,1
Adult fun + kid-friendly events = holiday smiles for the whole family! Check out @CitiPrivatePass:http://citi.us/I5Rb3h  #SmartIsSimple,,1
"Q9: The list of holiday activities can be overwhelming. How do you focus on what matters most, @mamaspohr & @centsiblelife? #SmartIsSimple",,1
"For no cost at all, use your yard’s foliage to help create a gorgeous centerpiece. http://citi.us/1cHdJjC  #SmartIsSimple",,1
"Q7: Many told us that entertaining gives you the most stress. How do you simplify, @mamaspohr & @centsiblelife? #SmartIsSimple",,
Book travel w/elig Citi Cards & you may be covered if you have to cancel for a covered reason. http://citi.us/1cHdsNE  #SmartIsSimple,,
Holiday travel doesn’t have to mean holiday debt! Follow these 4 tips to save more this season: http://citi.us/I5PVNN ,,
"Q6: Holiday travel can be a huge pain. How do you make it easier, @mamaspohr & @centsiblelife? #SmartIsSimple",,
Protect your credit card account when shopping online by using a Virtual Account Number http://citi.us/I5Pnrd  #SmartisSimple,,
"Q5: How can we all be smarter (and safer) shoppers online this season, @mamaspohr & @centsiblelife? #SmartIsSimple",,
"On 11/21 at 9 pm EST, we'll be talking how to tackle holiday stress with @mamaspohr & @centsiblelife. Mark your calendars! #SmartIsSimple",,
Missed hanging out w/ @EricRipert & @ChefBlanco yesterday? Here’s a recap of our exclusive G+ Hangout. http://citi.us/1brcgfy ,,1
Protect your hard-earned money by shopping smart online with Citi this holiday season: http://citi.us/1iMS5fW  #SmartIsSimple,,
Citi’s homeowner assistance events – Detroit 11/7 Boston 11/12 - details @ http://citi.us/ZGeySe  & view video http://citi.us/ZXeCNi ,,1
Keep your finances to yourself. Ditch the clutter & sign up for Citi Paperless Statements. http://citi.us/16b1Yz0 ,,1
Go ahead: Order off the dessert menu. You’ll earn 2X ThankYou Points. http://citi.us/12IOEoE ,,1
Stay on top of your finances even when you’re off the grid: http://citi.us/14kCmyS  pic.twitter.com/i0QwAbJb4r,,
"For a growing business, outsourcing is an impt mngmnt practice. Check out some ideas on this from #CitiSmallBiz: http://citi.us/10ym9ZH",,1
"Disaster relief can't wait for funds, so #Citi Foundation works w/ @RedCross's Annual Disaster Giving Program http://on.citi.us/10rBpHB ",,1
Download the @CitiBikeNYC app to unlock the best of #NYC via bike: http://citi.us/14gk1To ,,1
"While you’re gearing up for a packed summer, prepare to stay 1 step ahead of your finances. http://citi.us/14Mkiwf  pic.twitter.com/fV6ICWbUrX",,
Planning a night out w/ friends? Easily share the bill and get back to the fun. http://citi.us/15Xgo6R  pic.twitter.com/CIMV6fCXql,,1
CitiSimplicity is setting up the new baby room & not stopping to think abt late fees or a penlty rte. Learn more: http://citi.us/12YRPVG ,,1
US Citibank branches r closed today in honor of #MemorialDay. Need us? We r always w/i reach w/ CitiMobile Apps! http://citi.us/12c588C ,,
"We keep the files so you don't have to... even better, it's free! Sign up for Paperless Statements today: http://citi.us/Z34x0Y ",,1
"#CitiTuesdays are back! Elig Citi cardholders, get $10 #CitiField Gift Card at Tues @Mets home games. Quant ltd. http://citi.us/10xMrLX",,1
Trying to tackle talking money with your kids? Here are 7 pointers to get you started: http://citi.us/10x1zt0  #TCTS2013,,
Join CEO of @womenandco @LindaDescano tomorrow at 9pm EST for a Twitter party on teaching kids about money: http://citi.us/10wER4f  #gno,,1
Happy Teach Children to Save Day! Citi is meeting with kids across the country to prep a new generation of #financiallysavvykids. #TCTS2013,,1
"Last week, @centsiblelife @mamaspohr @suzannerust discussed #finances. What'd you learn? #CitiSimplicity",,1
Clean up ur paper trail & envnmt @ same time. Enroll in Paperless Statements & access ur info anywhere: http://citi.us/Z34x0Y ,,1
#MemorialDay planning just got simpler. Now elig ThankYou Mmbrs can exch ThankYou Pts 4 @HiltonHHonors Bonus Pts: http://citi.us/11rje0L ,,1
Our branches in the #Boston area are closed temporarily. Please call 1-888-248-4226 or tweet @askciti for up-to-date information.,,
"#CitiSimplicity is putting every cent towards wedding of ur dreams, not a late fee. Learn about no late fees, ever. http://citi.us/12VSLxe ",,1
"Our Citibank branch at Copley, located at 491 Boylston Street, remains closed. All other Boston branches are open for business",,
Stop by our Christopher St #NYC branch tomorrow between 10am-5pm to celebrate the branch's anniversary!,,1
"Our Citibank branch at Copley, located at 491 Boylston Street, remains closed. All other Boston branches are open for business.",,
".@ESealsDCMDVA is honoring the ‘Citi Salutes’ program, which supports veterans, service mmbrs & their families: http://bit.ly/13cUVIB ",,1
Our thoughts are with the City of Boston and all those impacted by today’s tragic events.,,
Did #Tax Day sneak up on you? Read “Filing a Tax Extension: 3 Things to Know Before the Deadline”: http://citi.us/HXzAoU ,,
Mnging a #smallbiz often involves a lot of data. Get tips to avoid info overload via Citi #smallbiz Resource Center: http://citi.us/13lkOq4 ,,
Getting all stmnts mailed bc ur worried might need 'em later? Sign up 4 Paperless Statements & download when u need! http://citi.us/Z34x0Y ,,1
Planning a trip abroad?  Check foreign transaction fees at the gate with the Citi ThankYou Premier Card. http://citi.us/Q39CXo ,,1
The new #Tribeca branch is open. Meet Branch Manager Rich Murphy & learn about our most recent location! http://citi.us/10riqbM  #NYC,,1
Let your Citi card make traveling easier. Enroll in Travel Notification to avoid account disruption on the go: http://citi.us/YeKeN9 ,,
"Impress your guests at your next fabulous fete! Redeem for popular items from Riedel, Oneida & more: http://citi.us/Z35WGI ",,1
10 easy ways to unplug from technology: http://citi.us/1bW52jl  #SmartIsSimple,,1
"#TravelTip: Download new #movies at home, then sit back, relax & enjoy your in-flight entertainment without wi-fi. pic.twitter.com/q7GPW4iv9a",,1
Snap a pic of your check in the Citi Mobile app for a quick deposit. Learn more: http://citi.us/1cWFR4P  pic.twitter.com/vGbi5MNOLg,,1
Time to make room for that holiday feast! Switch to online statements to save space and time at your table: http://citi.us/1bW3FkF ,,1
Tis the season of simple pleasures. #SmartIsSimple pic.twitter.com/aHFeXmDDei,,1
"By donating to @TeletonUSA btwn now & 12/31 you are helping improve lives of kids w/ autism, cancer, & disabilities. http://citi.us/1cWEseq ",,1
Catch @The Fray with Chef @jcompi of @littleowlnyc cooking & performing in the all new episode of #CulinaryBeats. http://citi.us/18GClfi ,,1
Host a game-watching party w/ money you got back by using #CitiPriceRewind: http://citi.us/1cWE2Vu  #SmartIsSimple,,1
Ready for another #CulinaryBeats serving of music & good food? “Check out @DJ Cassidy & Chef Jack Takahachi. http://citi.us/1cLqCrE ,,1
#Shopping burns calories. You earned that cinnamon roll! You also earn 2x points at restaurants w/ a Citi ThankYou Preferred Card.,,1
Enjoy another holiday cookie knowing you aren’t liable for unauthorized online shopping purchases: http://citi.us/1cWDDCn  #SmartIsSimple,,
Read personal finance tips from @LindaDescano & vote for her as as the Top Personal Finance Expert of 2013: http://citi.us/1cX7iLI ,,1
"Do you wish that saving money were as easy as spending it? With autosave, now it can be! http://citi.us/1bWxphp ",,
"Before the next episode of #CulinaryBeats hits, check out this never-before-seen performance from @TheFray! http://citi.us/1cX4MoN ",,1
"3 quick tips for a healthier, happier kitchen this season: http://citi.us/1cWt02o  #SmartIsSimple",,
Make your next trip count! Earn 2 wknd night certificates w/elig purchases using Citi Hilton HHonors Reserve Card. http://citi.us/1bVQ64A ,,1
Are you packing up and heading out or sticking put this season? Check your account on the go with CitiMobile: http://citi.us/1cWsHoo ,,1
You handle the baking. We’ll handle your account alerts: http://citi.us/1kW94O3  pic.twitter.com/KUASsxf0bh,,
Give back to your community this season with these 6 simple tips: http://citi.us/1kjai8s  #SmartIsSimple pic.twitter.com/ItZGczhzbR,,1
You take care of the shopping & we'll cover gift wrapping. Take advantage of holiday gift wrapping @ select branches! http://citi.us/1kW8OP6 ,,1
Ballet tickets will score you points on a date & 2x points w/ a Citi ThankYou Preferred Card. http://citi.us/1kW8NdS  pic.twitter.com/dfWy3HG7zG,,1
Watch the 2nd #CulinaryBeats episode: @WeareMKTO perform & savor Cambodian sandwiches w/ Ratha & Ben of @NumPang. http://citi.us/1c7tjJj ,,1
Splitting the check is simpler than ever! Use Popmoney on http://citi.com  to send money with ease: http://citi.us/1divZAj ,,1
Embrace today. #SmartIsSimple pic.twitter.com/JV8KsU43QB,,1
You could earn a $10 eGift card when you spend $100+ on elig purchases from http://Walmart.com  w/ ur Citi card! http://citi.us/1c7XMqw ,,1
Use #CitiPriceRewind: http://citi.us/190nnRW  Stock up on cookies with the money you could get back! #SmartIsSimple,,1
This week's #CulinaryBeats episode feat. @GavinDeGraw & chef @AnitaLoNYC of Annisa. Music to our taste buds! http://citi.us/1c7oXBZ ,,1
Monday is just another chance to be better than you were yesterday. Seize it. #MondayMotivation,,1
Don't let the holidays get you overwhelmed. Stop by select Citibank branches & let us do the wrapping for you! http://citi.us/190rmOr ,,1
7 simple ways to dine out with kids on a dime: http://citi.us/190knFc  #SmartIsSimple,,1
Make sure your gifts come in time! Redeem #CitiThankYou Pts earned w/a Citi credit card at http://Amazon.com : http://citi.us/190jzQE ,,
“Most people are about as happy as they make up their mind to be.”—Abraham Lincoln #SmartIsSimple pic.twitter.com/OdPpkzJyLp,,1
Is the movie ever better than the book? Earn 2x points when you buy tickets & download the ebook with a Citi ThankYou Preferred Card.,,1
"Severe weather is possible for the Eastern U.S. Sunday.  Damaging #winds, #hail & isolated #tornadoes possible. pic.twitter.com/xcRYQcsoZs",,
"In addition to the #snow, get ready for temperatures to drop this weekend.   The cold air will continue to push east. pic.twitter.com/tA4iS2jeIw",,1
Typhoon #Haiyan continues to head toward Vietnam. Current maximum sustained winds at 115 mph with gusts to 145 mph. pic.twitter.com/FifDrJOnrw,1,
CNN Hurricane tracker http://www.cnn.com/interactive/hurricane.tracker/index.html?sr=sharebar_twitter …,,
Super Typhoon #Haiyan continues to head NW toward #Vietnam where landfall is likely this weekend.  pic.twitter.com/jd7tlkavqd,1,
The latest look at Super Typhoon #Haiyan.  It’s among the strongest typhoons ever recorded anywhere on earth. pic.twitter.com/KsbxSxZjFS,,1
A lot of rain is forecasted for the central part of the country this week. Flooding possible in rain-soaked areas. pic.twitter.com/Zo1JTSujhG,,
It's chilly in the Northeast! But the highs will rise through mid-week. @MaginnisCNN is updating the forecast #NewDay pic.twitter.com/7oPQLaayEc,,1
"Check out some of these rainfall totals in Texas.  #Flood Warnings continue in Texas, Louisiana and Mississippi. pic.twitter.com/o9EYHRDlX6",1,
#Tornado Watch continues for portions of Louisiana & Mississippi until 7pm CDT.  Gusts & isolated tornadoes possible. pic.twitter.com/di6RoM4LMv,1,
Severe weather forecasted today and tomorrow. Tracking storms with @IndraPetersons live in Seaside Heights #NewDay pic.twitter.com/UOhXBdw7b2,,
Today is the 1 year anniversary of the devestating landfall of Sandy. @IndraPetersons is on the Jersey Shore this morning #EarlyStart,,1
#Flooding continues for the South-Central coast of #Mexico as Hurricane #Raymond lingers in the Eastern Pacific. pic.twitter.com/Vh4T1q7CdI,1,
Cool showers along the #east coast with light rain and lake effect #snowfall for the Great Lakes today. pic.twitter.com/Oi70g0ekT8,,1
Tropical Storm Raymond forms in the Eastern Pacific.Heavy rainfall possible for the western Mexican coastline by Tue pic.twitter.com/ZEad5WRigd,,
"Look at the potential high temperatures on Monday.  Marquette, Minneapolis, and Bismarck could hover around 40. ",,1
"A line of severe storms continue to push through NH, MA, CT and Long Island, NY.  Be careful for high gusts capable of knocking down trees.",,
Strong to severe #storms possible through the rest of the afternoon and early evening for parts of the #Northeast. pic.twitter.com/bSrygQLUdl,,
"A Tornado Watch continues until 5pm for an area stretching from Albany, NY to Delaware. pic.twitter.com/vQR95QniNh",1,
#Tornado watch until 5pm EDT from Northern VA to NY. The cities and states located in the watch box found here: pic.twitter.com/HJl7T5OTEc,1,
"#Tornado warning until 9:15AM EDT for Berkley, Jefferson and Washington counties, line of storms moving NE @ 50mph pic.twitter.com/Ea03ueaICt",1,
"Slight risk for #severe weather across the NE today. Damaging winds greatest threat, small isolated tornado threat pic.twitter.com/wfOLjQA2L7",,
"Center of #Karen no longer well defined, NHC issues last advisory: remnants moving east at 13 mph, max sustained winds of 30 mph",,
Seeing reports of a huge tornado on the ground in NE Nebraska. It is now NE of Wayne.   It's currently racing north at 40 mph. Take cover!,1,
A #Tornado Watch is in effect for Eastern Nebraska and Western Iowa until 10pm CDT. pic.twitter.com/G30p8pWExj,1,
Intermediate Advisory for T.S. Karen:  No big changes from the AM. Sustained winds at 50mph.  Still heading toward the Central Gulf Coast.,,
"Flash #flood watches, warnings for TX. Rain will bring drought relief, but also threat for localized flooding #txwx pic.twitter.com/nW6ryHUc6N",1,
"@NWSBoulder: Boulder has received 29.65"" of precip since Jan 1. This breaks the all-time annual record of 29.43"" set in 1995. #coflood",,1
"Flood threat today for the Four Corners as Monsoon Season continues.  Remember, turn around, don't drown! pic.twitter.com/bBY83ib2f8",1,
Tropical Storm #Humberto may reach hurricane status later today.  Some models suggest it could clip a Category 2. pic.twitter.com/5j2Fb0VRyD,1,
Flash #Flood Watches in effect for a good portion of Utah & Arizona today. A few counties in far SW CO also affected. pic.twitter.com/7iQZrcJ3VS,1,
"Flash #Flood Watches continue for parts of Eastern Montana, Western North Dakota, & a few counties in WY/SD. pic.twitter.com/IdvTjNfTh3",1,
#Hot in the #Plains and #Midwest today.  The heat will spread eastward early next week. pic.twitter.com/ouD0ILdyo9,,
Flash #flood warning in effect for the New York City area until 3pm EDT. Heavy rainfall rates of 1-2 in/hour #nywx,1,
Labor Day weekend forecast for selected cities. #orwx #mowx #gawx #txwx #azwx #dcwx pic.twitter.com/W1gKhw25nW,,1
"#NYC severe thunderstorm warning for #Manhattan, Bronx, Westchester in NY and Bergen County in NJ until 2p ET. http://forecast.weather.gov/wwamap/wwatxtget.php?cwa=okx&wwa=severe%20thunderstorm%20warning …",1,
8 years ago today the NWS issued this message warning about devastating damage expected with #Katrina at landfall: pic.twitter.com/x6cSvaTodj,,1
Storms in the West today increase the risk of burn scar flooding. @IndraPetersons explains this risk on @CNNnewsroom,,
Southeast keeps watching for flooding rain.  West fire danger from thunderstorms.  Forecast with @IndraPetersons,,
Hi-res satellite imagery of an area of low pressure in the Gulf that could become the next #tropical storm. pic.twitter.com/daDVdksF4Q,,
Major flooding in the forecast for the Southeast. Several ingredients coming together.  Check the numbers with @IndraPetersons,1,
RT @Interior: Getting up at #sunrise in Rocky Mountain NP. pic.twitter.com/FIba6Ng6wO,,1
Wildfire danger for Idaho and Utah.  Updates with @IndraPetersons during @EarlyStartCNN,1,
Watching storms move through the Northeast.  Tornado warning in parts of Maryland this morning. @IndraPetersons is tracking the heavy rain.,1,
Flash #flood threat remains into Saturday with heavy rainfall still in the forecast. Stay alert  #tnwx #mowx #arwx pic.twitter.com/DWh0ywVycb,1,
"Continuing to follow heavy rain and flooding on @NewDay with @IndraPetersons. Central US hit again, but threat into OH and Northeast today.",,
Flash #flood watch in effect for Las Vegas and surrounding areas through Monday. Here's a look at current watches: pic.twitter.com/jlXobvBAfV,1,
Relief from the #heatwave is in sight as a cold front approaches the NE  bringing cooler temps. Here's the forecast: pic.twitter.com/cegstBBScl,,1
"Confirmed tornado near New Castle, PA and moving northeast at 15 mph. Take cover now!",1,
Today is the 100th anniversary of the highest air temperature recorded on earth! pic.twitter.com/xVov7yUFif,,1
Flood Warnings and Flood Watches remain in effect across many areas in the Southeast and Ohio/Tennessee Valleys. pic.twitter.com/HsErmyfKis,1,
The #heat will be sticking around the Northeast for the next few days. pic.twitter.com/PXV6wAYUrU,,1
The threat for flooding continues into Friday. Here are the current #flood watches and warnings: pic.twitter.com/XfCXrcIYUx,,
"Unless you are on the coast, expect another hot day out west. Be careful when celebrating the Fourth in this heat! pic.twitter.com/XKmtPDWrhq",,
"Excessive Heat Warning continues for parts of California, Nevada, and Arizona.  #Heat #FourthofJuly pic.twitter.com/n86RkQe6ET",1,
Rainy and soggy #weather conditions will continue for the Southeast. Here's a glance at forecast 48 hour rain totals: pic.twitter.com/XpuaRR6qib,,1
Flash Flooding will be a major concern for the Southeast through Friday. pic.twitter.com/Qs5cIWPZlt,1,
Here are a few other forecasts for cities for the Fourth of July. pic.twitter.com/eJMs9q5Dsq,,1
"Tornado Watch in effect until 10PM EDT for DC, DE, MD, NJ, PA, & VA. A few tornadoes are possible in this area today. pic.twitter.com/4IzFVrOphJ",1,
Record #heat this weekend for the Southwest.  Death Valley could hit 130-degrees!  The all-time world record is 134. pic.twitter.com/AOoZySjDiV,,1
"A new Tornado Watch issued for NE CO, NW KS, and SW NE until 11pm MDT.  Several tornadoes are possible. pic.twitter.com/eb8FFdhsqf",1,
Current #Tornado Watches in E. WY and W. NE/SD.  A #Severe #Thunderstorm Watches is in effect for parts of ND. pic.twitter.com/dp66pHU8KD,1,
"If you are awake early tomorrow, check out the ""Supermoon"".  More details from NASA: http://moon.nasa.gov/newsdisplay.cfm?Subsite_News_ID=44049&SiteID=6&iSiteID=1 … pic.twitter.com/D5VW1BSEKF",,1
Keeping an eye on current #Flood Warnings in parts of the northern tiered states this afternoon. pic.twitter.com/WwC19OCSvH,,
Here's a look at current #flood watches and warnings in place for the Mid-Atalntic states and parts of the NE pic.twitter.com/9YIGfmOzqH,,
"Severe weather threat continues to push east on Thursday. Damaging #winds, large #hail and possible #tornadoes pic.twitter.com/bgwuEWyucN",,
SPC to upgrade from moderate to high risk of strong storms today: http://www.spc.noaa.gov/products/md/md1040.html …,,
"Excessive #heat warning in effect until 8PM PDT tonight for parts of NV, CA and AZ. Be aware and careful out there! pic.twitter.com/9KgQu7UMqI",1,
"Cyclones, severe weather and Southwest heat... Here's the national #forecast for your Saturday: pic.twitter.com/e5C7kAChbn",,
Preliminary rainfall amounts from the last 12 hours.  Flash #flooding remains a problem for many this evening. pic.twitter.com/lyDEBxliUu,1,
"Flash Flood and Flood Warnings for many up the East Coast due to Post-Tropical #Andrea.  ""Turn Around, Don't Drown"" pic.twitter.com/1ICz94rZMT",1,
Latest Advisory on Post-Tropical #Andrea: Winds remain at 45 mph but storm racing NE at 35 mph. Over VA right now. pic.twitter.com/OTzQqeErKY,,
Current #flood watches and warnings in effect as #Andrea races up the Eastern Seaboard pic.twitter.com/mFLGV8kSye,1,
"Andrea continues to weaken. Max sustained winds at 45 mph. It is moving NE at 15 mph. On it's current path, it will be over SE GA overnight.",,
Major #flooding issues for areas in and around St. Louis today.  Water levels are near at or crest. pic.twitter.com/M7X1XJdxLB,1,
Onshore flow helping a little for areas near the coast but gusty winds inland will make for tough day battling fires. pic.twitter.com/NTFhFR4Uu1,,
Flash #flood warnings as well as flood watches/warnings in place due to the #severe weather. Please stay safe! pic.twitter.com/6B5PujMwfe,1,
Watch as tornado nears ground in OK from earlier today http://www.cnn.com/video/data/2.0/video/weather/2013/05/31/bts-ok-tornado-touchdown.kfor.html … #cnn,,
Flood warnings are in effect for St. Louis MO and continue in OKC. Do not drive through flooded roads.,1,
The NWS has allowed all tornado warnings and tornado emergencies to expire for OKC area. Flash flood warnings remain for metro area.,1,
Flash Flooding continues in OKC. Reports of pedestrian tunnels flooding in downtown. #OKWX,1,
Velocity Radar of Tornado in St. Louis moments ago...Continue to take shelter if you are in the area. #extremeweather pic.twitter.com/vpEUWCQuYI,1,
"Two thunderstorms possible of producing a tornado near St. Louis, MO. 1 confirmed on the ground crossing the Missouri river now",,
Serious Flash Flooding Threat over the OKC metro! Do not drive through flooded roads. #okwx,1,
Tornado warnings in and around OKC. Continue to Take Shelter! #okwx pic.twitter.com/IpRAF8yPAB,1,
